Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
87.000	108.533	144.595	110.553	158.248	443.025	81.858	144.131	169.614
88.000	68.404	127.821	83.790	192.055	929.429	51.693	15.848	204.695
89.000	284.740	82.821	168.235	210.815	249.125	22.959	19.879	154.028
90.000	126.515	117.352	192.724	124.892	101.415	5.590	84.055	276.816
91.000	223.326	201.257	92.114	28.122	145.060	24.177	116.309	175.701
92.000	365.314	243.220	90.546	44.085	322.213	8.749	103.564	117.770
93.000	248.821	168.360	122.530	138.737	132.333	15.733	99.866	173.787
94.000	281.978	376.278	163.265	198.664	58.864	42.184	66.974	73.359
95.000	123.708	183.853	270.114	176.854	127.712	61.333	14.166	123.279
96.000	74.854	57.393	245.030	254.793	190.587	85.031	47.547	644.702
97.000	37.260	193.663	106.831	287.842	158.734	107.730	82.821	515.000
98.000	96.235	309.351	57.979	180.855	153.549	144.827	210.115	140.447
99.000	335.513	176.341	111.367	133.223	406.827	97.755	246.240	194.470
100.000	56.664	163.512	272.339	57.174	401.395	89.813	93.136	32.201
101.000	574.441	125.756	242.318	7.018	199.754	43.766	35.112	232.946
102.000	170.369	130.673	151.998	13.626	59.831	53.725	5.035	215.040
103.000	249.430	159.953	135.236	65.014	136.022	98.042	10.421	80.727
104.000	117.143	224.481	125.000	75.189	267.582	12.923	57.320	103.368
105.000	589.340	228.840	175.318	76.956	105.935	40.202	188.991	100.736
106.000	346.024	300.588	172.771	102.292	236.791	64.781	264.277	129.573
107.000	77.720	169.740	156.191	45.963	233.978	75.524	185.689	157.279
108.000	59.980	123.279	189.257	70.900	325.165	87.361	177.111	242.619
109.000	105.836	125.324	104.056	288.006	119.452	52.249	306.135	334.277
110.000	182.025	135.573	64.239	265.376	24.654	48.349	317.209	158.734
111.000	164.006	237.237	155.830	149.156	38.148	65.248	321.347	163.882
112.000	355.422	266.478	279.553	130.453	136.924	33.697	183.199	198.937
113.000	277.620	244.275	125.000	50.795	54.862	47.813	78.745	156.553
114.000	205.801	219.735	42.184	50.383	64.393	59.607	223.326	227.965
115.000	153.549	171.758	110.655	150.929	141.938	177.239	385.886	409.361
116.000	207.744	85.923	177.625	258.970	38.507	194.201	276.816	257.884
117.000	201.120	26.708	142.859	210.255	240.968	226.946	192.055	186.743
118.000	33.417	6.418	84.587	86.820	178.140	102.487	69.204	156.795
119.000	324.295	19.494	113.413	19.579	133.446	72.535	45.963	184.114
120.000	166.238	48.416	272.657	28.225	162.649	167.360	122.210	179.560
121.000	101.707	90.914	155.589	21.414	223.326	223.470	133.000	251.416
122.000	383.237	134.899	202.904	41.746	235.013	16.195	46.884	230.595
123.000	263.180	119.452	270.272	109.137	267.266	128.805	154.747	180.077
124.000	87.541	93.322	266.163	217.452	317.897	57.028	118.190	131.890
125.000	94.726	82.382	307.826	208.300	339.413	87.090	48.955	75.440
126.000	86.102	24.606	396.768	79.259	263.963	21.998	107.030	50.383
127.000	12.716	31.331	195.144	156.312	282.465	36.907	224.771	89.174
128.000	198.528	81.161	180.725	237.535	251.722	14.421	81.858	18.860
129.000	178.398	150.929	142.398	232.946	204.695	24.035	80.467	131.557
130.000	53.019	59.012	68.244	179.430	128.039	112.285	81.509	471.291
131.000	515.657	10.390	59.681	110.553	476.333	112.899	84.321	199.754
132.000	235.161	45.767	47.148	139.420	341.015	40.816	58.716	86.013
133.000	51.554	45.506	59.532	112.694	302.935	17.221	92.300	46.554
134.000	40.141	85.834	110.350	52.529	183.460	209.276	139.534	173.152
135.000	301.258	140.219	252.641	29.416	211.657	212.078	143.900	425.529
136.000	208.161	64.626	386.455	124.784	142.283	246.543	141.134	205.386
137.000	484.582	99.481	336.752	175.062	111.468	143.552	135.573	124.569
138.000	136.248	146.458	242.318	90.455	193.261	226.075	260.681	19.112
139.000	136.811	81.683	196.765	42.624	200.984	175.190	85.031	22.683
140.000	61.636	50.589	270.590	33.194	134.451	61.106	18.443	79.431
141.000	325.339	72.371	336.398	14.348	232.357	81.248	14.568	80.294
142.000	134.451	70.171	89.630	24.991	318.758	152.713	37.732	85.745
143.000	66.108	42.184	32.696	31.223	186.347	108.634	138.169	100.542
144.000	119.769	28.482	29.469	44.728	245.483	156.312	138.169	160.686
145.000	336.221	18.818	74.604	113.721	211.797	5.682	195.683	137.263
146.000	608.469	59.309	48.955	176.598	127.385	28.276	56.519	199.073
147.000	562.018	104.845	76.449	92.485	179.301	144.131	202.217	284.414
148.000	483.945	55.868	156.916	88.628	79.776	93.882	187.403	359.802
149.000	90.638	55.077	88.537	140.676	15.239	192.055	60.956	250.651
150.000	64.781	111.163	100.930	116.517	132.001	243.672	127.385	204.557
151.000	127.930	128.039	173.279	120.509	254.793	280.845	100.059	232.357
152.000	178.140	66.501	190.320	259.591	250.346	107.230	37.024	251.875
153.000	369.013	136.473	357.791	188.461	248.060	22.821	41.934	82.821
154.000	197.036	127.712	226.075	36.673	100.349	46.422	46.094	55.436
155.000	123.708	40.755	143.668	48.215	69.526	17.908	158.613	34.883
156.000	120.933	19.239	170.369	97.469	314.636	105.935	82.032	21.058
157.000	15.352	19.197	163.759	119.347	246.088	68.803	65.952	101.512
158.000	31.547	57.685	80.553	33.417	221.599	132.889	145.176	397.537
159.000	12.408	79.776	119.241	10.020	319.102	211.937	287.351	314.465
160.000	79.517	83.349	76.449	29.679	297.251	222.318	405.077	192.590
161.000	360.168	80.294	24.367	54.934	249.125	181.635	240.968	174.424
162.000	120.933	79.345	70.982	60.956	84.676	73.607	65.092	69.928
163.000	68.883	108.634	64.007	36.790	29.889	75.189	231.329	148.921
164.000	253.562	182.025	74.688	116.309	150.101	182.286	88.537	45.376
165.000	63.852	179.043	87.271	187.403	317.037	382.481	85.923	58.790
166.000	144.595	89.265	23.191	54.719	320.310	99.192	453.651	78.745
167.000	642.498	35.859	8.326	96.994	228.111	126.406	539.821	228.402
168.000	309.012	119.136	36.790	227.965	248.517	192.323	434.535	219.878
169.000	147.628	342.621	48.550	45.376	239.621	283.926	380.785	403.137
170.000	74.105	394.081	31.061	85.298	144.711	251.263	267.582	398.500
171.000	40.141	302.096	74.938	306.473	122.958	236.050	228.111	155.709
172.000	97.089	144.595	188.859	258.504	141.020	289.318	239.174	59.607
173.000	319.102	110.148	259.902	128.258	154.867	123.923	50.109	179.948
174.000	8.243	212.078	86.282	192.457	208.440	104.352	47.747	26.509
175.000	30.900	455.091	44.214	178.656	216.741	176.469	33.417	55.005
176.000	7.565	237.535	151.048	156.674	88.447	309.351	58.273	28.843
177.000	68.404	20.705	168.485	166.736	15.126	169.866	134.563	84.764
178.000	278.263	16.507	43.320	100.542	157.279	157.763	168.610	123.601
179.000	414.257	67.846	86.013	142.053	193.663	257.884	233.241	64.161
180.000	81.596	306.304	95.856	188.064	82.382	126.081	73.856	36.614
181.000	94.444	233.978	116.830	237.386	120.615	83.261	100.059	40.324
182.000	217.595	27.310	71.063	260.992	190.587	205.247	45.702	63.314
183.000	60.880	29.837	52.879	191.120	224.626	61.106	103.859	184.901
184.000	83.173	123.708	61.560	214.333	188.196	117.980	258.659	316.350
185.000	413.472	158.248	83.349	282.140	86.013	161.175	308.673	195.009
186.000	715.397	159.343	128.258	227.528	26.211	246.543	232.652	235.901
187.000	216.883	177.497	30.847	252.181	22.089	290.962	99.384	137.829
188.000	35.055	147.393	40.509	235.161	26.509	217.168	55.507	69.124
189.000	46.620	310.881	29.784	236.643	17.101	245.786	157.642	63.930
190.000	219.306	508.450	39.775	232.946	80.813	79.002	250.957	108.634
191.000	82.909	339.769	84.498	142.053	168.610	71.634	485.858	84.232
192.000	440.186	143.437	127.712	124.353	114.340	59.980	86.641	180.077
193.000	73.607	36.381	162.649	194.874	84.942	78.146	152.832	63.930
194.000	116.934	47.880	128.148	191.521	81.945	72.864	167.484	131.890
195.000	81.509	178.011	82.909	174.679	76.281	122.210	121.784	204.419
196.000	115.374	164.624	115.478	90.822	94.538	99.673	43.129	142.053
197.000	61.409	153.190	365.499	58.642	209.835	263.180	14.057	94.351
198.000	199.754	182.025	410.143	90.455	89.448	120.191	89.083	23.846
199.000	135.910	87.993	136.699	110.249	113.824	293.271	82.207	84.409
200.000	71.797	47.082	135.123	61.560	208.300	183.853	188.859	131.447
201.000	217.595	66.030	119.769	19.750	289.318	289.318	270.748	302.935
202.000	247.453	105.935	93.696	34.941	224.771	73.111	97.660	174.679
203.000	72.371	118.925	57.466	70.738	232.946	268.530	194.470	208.161
204.000	155.108	37.614	110.553	25.671	164.996	283.439	172.898	255.102
205.000	100.155	13.237	117.247	49.496	66.580	243.521	190.720	148.215
206.000	133.781	42.624	99.384	173.787	55.005	385.886	179.043	249.125
207.000	246.088	104.450	165.244	121.890	96.804	254.947	126.081	118.505
208.000	77.380	67.053	61.484	78.830	93.136	424.733	138.510	237.683
209.000	137.037	20.749	88.719	65.404	93.789	166.736	130.343	172.391
210.000	458.804	18.195	159.465	156.071	93.229	487.987	92.578	111.061
211.000	117.143	10.989	314.465	202.904	45.117	272.339	190.187	81.509
212.000	102.292	97.279	235.753	201.805	33.306	77.211	191.921	336.398
213.000	146.224	277.459	205.801	181.895	41.996	172.011	265.533	241.568
214.000	41.435	466.693	253.102	19.239	93.043	162.772	312.414	83.702
215.000	53.513	344.052	261.304	84.764	337.283	230.595	257.884	68.803
216.000	279.875	75.692	111.061	194.874	245.937	311.562	222.318	48.955
217.000	36.848	83.702	101.999	272.339	207.326	423.144	244.728	178.269
218.000	60.655	102.292	129.353	197.442	345.665	280.198	195.953	146.341
219.000	162.403	194.470	115.270	74.854	408.386	94.163	232.799	97.374
220.000	18.237	233.536	134.116	73.276	367.161	129.024	243.973	88.901
221.000	262.554	134.339	222.318	139.078	255.564	204.695	311.732	199.481
222.000	99.673	114.340	66.738	164.748	236.791	285.718	382.859	135.236
223.000	79.431	104.253	39.592	130.894	197.713	308.503	760.483	155.348
224.000	211.657	41.497	20.793	35.112	256.491	459.218	317.037	246.391
225.000	122.530	53.301	30.419	105.439	174.424	385.318	540.943	301.928
226.000	171.631	80.987	109.137	346.024	131.557	83.173	433.128	121.358
227.000	198.528	81.074	75.776	164.377	168.235	136.699	337.992	127.821
228.000	532.892	82.120	19.579	81.945	56.301	239.024	104.746	187.007
229.000	198.664	74.771	23.752	73.029	69.687	400.622	171.505	129.463
230.000	128.805	55.651	48.550	92.022	178.914	355.058	252.795	217.310
231.000	84.409	20.095	125.648	20.881	228.986	340.481	50.657	196.224
232.000	230.742	19.708	197.171	17.664	289.811	323.600	167.484	207.604
233.000	245.634	7.672	96.045	56.229	157.400	58.126	329.004	232.063
234.000	136.586	13.027	249.278	87.090	94.726	123.923	311.051	200.710
235.000	32.201	39.958	280.037	133.446	216.315	268.056	36.149	268.372
236.000	22.637	61.863	325.339	73.111	227.092	37.260	49.090	327.082
237.000	42.184	35.801	156.674	20.268	142.975	60.956	153.669	186.611
238.000	21.414	41.809	44.664	82.207	101.318	48.685	231.182	203.867
239.000	5.056	140.105	84.587	76.534	76.281	93.976	151.523	169.238
240.000	50.589	173.025	79.431	31.982	52.599	198.801	108.332	540.045
241.000	113.207	170.495	60.354	29.103	101.415	158.248	209.276	273.136
242.000	93.976	62.777	98.425	23.705	253.102	173.915	137.943	292.280
243.000	186.611	22.316	203.041	68.164	210.115	164.624	122.424	200.573
244.000	39.229	61.863	90.822	198.937	312.244	36.731	109.541	182.416
245.000	654.540	114.649	30.101	149.982	387.594	357.973	183.853	315.492
246.000	358.521	83.525	29.260	51.001	490.977	52.599	198.392	139.762
247.000	201.942	66.030	88.174	4.757	462.533	224.048	135.685	560.875
248.000	252.488	161.298	55.940	30.366	282.789	232.799	171.505	244.275
249.000	120.827	191.654	109.238	81.509	219.878	377.965	214.191	62.396
250.000	592.389	126.732	212.640	56.229	241.268	237.832	252.795	111.774
251.000	97.565	56.519	112.899	99.192	310.541	312.414	537.581	186.875
252.000	198.121	85.120	20.486	124.246	289.482	304.954	567.293	392.550
253.000	181.115	155.950	21.325	51.762	388.165	52.599	414.454	301.258
254.000	181.115	250.498	26.558	15.580	470.663	298.750	197.036	293.767
255.000	64.937	213.204	71.715	52.249	274.573	143.668	357.608	296.918
256.000	25.136	203.316	92.578	144.479	216.173	249.430	489.481	209.556
257.000	365.683	163.635	36.731	326.733	182.677	255.718	243.070	231.769
258.000	28.482	64.316	18.776	267.424	143.784	121.464	119.241	344.768
259.000	23.517	104.253	7.887	145.525	154.627	198.257	99.769	434.334
260.000	124.031	136.924	29.260	128.258	90.914	301.593	293.932	575.367
261.000	138.623	127.603	127.603	163.882	59.532	182.155	40.878	231.475
262.000	112.081	250.498	71.144	269.321	97.279	101.415	78.745	135.685
263.000	232.210	233.388	27.765	207.188	91.006	26.608	93.976	331.460
264.000	51.001	98.042	61.484	81.161	64.007	10.020	92.671	146.108
265.000	47.016	109.238	105.836	84.232	136.924	166.861	173.660	74.854
266.000	163.635	102.389	177.239	103.958	244.426	114.030	54.934	266.478
267.000	36.439	136.699	180.855	172.264	261.148	29.731	148.450	220.594
268.000	109.743	338.525	101.512	125.864	305.966	79.948	377.777	405.660
269.000	345.485	223.182	18.278	102.292	144.363	521.591	722.383	301.090
270.000	208.022	105.340	25.475	171.252	93.322	226.075	543.189	229.278
271.000	113.207	126.515	145.641	130.894	164.872	294.595	229.717	295.589
272.000	27.664	129.353	263.023	209.556	223.903	131.779	57.612	396.768
273.000	130.784	129.902	304.785	213.486	200.300	176.726	365.314	266.005
274.000	226.075	108.031	356.696	137.603	57.685	110.858	160.563	119.980
275.000	274.413	142.053	313.780	72.946	63.160	155.709	129.682	370.497
276.000	404.883	198.664	24.130	127.821	72.535	309.351	154.867	263.180
277.000	135.460	115.893	40.447	135.797	59.756	192.323	303.271	501.079
278.000	31.008	47.016	41.559	183.068	167.484	108.332	370.312	181.635
279.000	33.306	82.909	125.324	23.471	200.847	374.409	278.263	514.343
280.000	44.535	78.916	83.702	14.976	134.563	202.766	161.298	358.521
281.000	163.635	70.009	164.996	6.565	161.175	246.088	189.655	241.268
282.000	127.712	65.560	153.549	20.793	224.337	159.221	165.989	309.012
283.000	108.131	176.598	124.892	39.108	239.472	170.495	94.351	597.804
284.000	73.442	169.238	168.861	40.816	374.035	401.201	223.470	552.904
285.000	240.818	64.781	310.881	15.428	305.122	159.465	157.884	437.961
286.000	217.879	104.352	190.720	27.360	294.760	121.358	173.787	94.444
287.000	114.546	116.413	140.791	53.019	380.973	103.663	323.080	200.710
